time,Htđ
1/18/2016 8:00,1.56
1/18/2016 9:00,1.54
1/18/2016 10:00,1.55
1/18/2016 11:00,1.60
1/18/2016 12:00,1.68
1/18/2016 13:00,1.78
1/18/2016 14:00,1.89
1/18/2016 15:00,1.99
1/18/2016 16:00,2.06
1/18/2016 17:00,2.09
1/18/2016 18:00,2.05
1/18/2016 19:00,1.97
1/18/2016 20:00,1.87
1/18/2016 21:00,1.75
1/18/2016 22:00,1.63
1/18/2016 23:00,1.53
1/19/2016 0:00,1.47
1/19/2016 1:00,1.45
1/19/2016 2:00,1.46
1/19/2016 3:00,1.48
1/19/2016 4:00,1.52
1/19/2016 5:00,1.56
1/19/2016 6:00,1.58
1/19/2016 7:00,1.59
1/19/2016 8:00,1.59
1/19/2016 9:00,1.59
1/19/2016 10:00,1.61
1/19/2016 11:00,1.65
1/19/2016 12:00,1.71
1/19/2016 13:00,1.80
1/19/2016 14:00,1.91
1/19/2016 15:00,2.02
1/19/2016 16:00,2.11
1/19/2016 17:00,2.17
1/19/2016 18:00,2.17
1/19/2016 19:00,2.12
1/19/2016 20:00,2.01
1/19/2016 21:00,1.87
1/19/2016 22:00,1.71
1/19/2016 23:00,1.55
1/20/2016 0:00,1.42
1/20/2016 1:00,1.32
1/20/2016 2:00,1.28
1/20/2016 3:00,1.28
1/20/2016 4:00,1.32
1/20/2016 5:00,1.38
1/20/2016 6:00,1.45
1/20/2016 7:00,1.52
1/20/2016 8:00,1.56
1/20/2016 9:00,1.60
1/20/2016 10:00,1.64
1/20/2016 11:00,1.68
1/20/2016 12:00,1.73
1/20/2016 13:00,1.80
1/20/2016 14:00,1.89
1/20/2016 15:00,2.01
1/20/2016 16:00,2.12
1/20/2016 17:00,2.20
1/20/2016 18:00,2.25
1/20/2016 19:00,2.24
1/20/2016 20:00,2.17
1/20/2016 21:00,2.03
1/20/2016 22:00,1.85
1/20/2016 23:00,1.65
1/21/2016 0:00,1.46
1/21/2016 1:00,1.29
1/21/2016 2:00,1.18
1/21/2016 3:00,1.13
1/21/2016 4:00,1.14
1/21/2016 5:00,1.20
